ano,trimestre,departamento,municipio,impuestomes1,impuestomes2,impuestomes3,totalimpuesto
2019,2,TOLIMA,FALAN,856212,870101,761887,2488200
2019,2,TOLIMA,ESPINAL,4751891,4840191,4567396,14159478
2019,2,TOLIMA,COYAIMA,25462870,25886247,24384064,75733181
2019,2,TOLIMA,COELLO,12580525,12790702,12120854,37492081
2019,2,TOLIMA,ALVARADO,34794264,35374072,33524749,103693085
2019,2,SUCRE,COVEÑAS,12635233,13237151,12753533,38625917
2019,2,SANTANDER,PUERTO WILCHES,47404611,50923249,50171760,148499620
2019,2,SANTANDER,PUERTO PARRA,29512040,30427882,29353918,89293840
2019,2,SANTANDER,CIMITARRA,209683043,216190103,208559587,634432733
2019,2,SANTANDER,BOLIVAR,7441250,7672173,7401381,22514804
2019,2,PUTUMAYO,VALLE DEL GUAMUEZ,0,22463.58352,38251.4886,60715.07212
2019,2,PUTUMAYO,SAN MIGUEL,0,16927.4009,28824.35395,45751.75484
2019,2,PUTUMAYO,PUERTO GUZMÁN,0,3855.723564,6565.611662,10421.33523
2019,2,PUTUMAYO,PUERTO CAICEDO,0,41318.03611,70357.26893,111675.305
2019,2,PUTUMAYO,ORITO,0,114085.2188,194266.8426,308352.0614
2019,2,PUTUMAYO,MOCOA,0,1974.037142,3361.434259,5335.471401
2019,2,META,RESTREPO,5436375.114,5624207.931,5528977.088,16589560.13
2019,2,META,PUERTO LOPEZ,42991359.59,44476758.97,43723664.61,131191783.2
2019,2,META,CUMARAL,55024387.99,56925541.9,55961660.87,167911590.8
2019,2,META,BARRANCA DE UPIA,47012084.31,48636404.2,47812877.43,143461365.9
2019,2,HUILA,YAGUARA,26254691.88,26827055.36,26338285.57,79420032.81
2019,2,HUILA,TESALIA,8451887.288,9269024.232,9415193.753,27136105.27
2019,2,HUILA,RIVERA,4088749.048,3970786.257,3795348.624,11854883.93
2019,2,HUILA,PALERMO,18347498.53,17818162.51,17030918.86,53196579.9
2019,2,HUILA,HOBO,1128982.946,1096411.131,1047969.396,3273363.473
2019,2,HUILA,CAMPOALEGRE,7719802.308,7497081.515,7165844.791,22382728.61
2019,2,CORDOBA,TUCHIN,18069535,18930333,18238715,55238583
2019,2,CORDOBA,SAN ANDRES DE SOTAVENTO,56724130,59426358,57255222,173405710
2019,2,CORDOBA,SAHAGUN,88619451,92841111,89449170,270909732
2019,2,CORDOBA,PURÍSIMA,6260009,6558224,6318620,19136853
2019,2,CORDOBA,PLANETA RICA,36081462,37800314,36419283,110301059
2018,3,HUILA,CAMPOALEGRE,2379894.37224735,2463544.36335986,2454876.83427804,7298315.56988525
2018,3,HUILA,AIPE,76514615.1906473,76961132.1196839,73420110.0046475,226895857.314979
2018,3,DEPARTAMENTO NN,MUNICIPIO NN,1403812,0,0,1403812
2018,3,CUNDINAMARCA,PARATEBUENO,148663606,166782925,155124637,470571168
2018,3,CUNDINAMARCA,GUADUAS,54332958,45861435,183120895,283315288
2018,3,CUNDINAMARCA,CAPARRAPI,2817867,2378509,9497189,14693565
2018,3,CORDOBA,TUCHIN,54501494,57444216,60124435,172070145
2018,3,CORDOBA,SAN ANDRES DE SOTAVENTO,170709763,179912859,188303382,538926004
2018,3,CORDOBA,SAHAGUN,266089349,280411904,293483281,839984534
2018,3,CORDOBA,PURÍSIMA,19001608,20032006,20967853,60001467
2018,3,CORDOBA,PLANETA RICA,108545635,114395911,119730542,342672088
2018,3,CORDOBA,MOMIL,60447669,63706449,66677501,190831619
2018,3,CORDOBA,LA APARTADA,82911674,87398028,91478433,261788135
2018,3,CORDOBA,CHINU,32241499,33990176,35578200,101809875
2018,3,CORDOBA,BUENAVISTA,174425502,183827414,192400095,550653011
2018,3,CESAR,TAMALAMEQUE,102531074,97325008,90845993,290702075
2018,3,CESAR,SAN ALBERTO,44516887,40163059,41736724,126416670
2018,3,CESAR,RIO DE ORO,19013352,17149523,17829204,53992079
2018,3,CESAR,PELAYA,51327244,47981286,41761996,141070526
2018,3,CESAR,PAILITAS,7063792,5829080,1858735,14751607
2018,3,CESAR,LA GLORIA,89529475,81822783,74222482,245574740
2018,3,CESAR,GAMARRA,38823618,35013382,36398471,110235471
2018,3,CESAR,CHIMICHAGUA,18280523,15085187,4810256,38175966
2018,3,CESAR,AGUACHICA,114767021,103495930,107621299,325884250
2018,3,CAUCA,PIAMONTE,836211,742764,745443,2324418
2018,3,CASANARE,TRINIDAD,29531667.6116161,25232794.1628853,32271188.4784772,87035650.2529785
